cohort allele allele_count all_alleles_count
13 6 14 9510
13 6 15 1614
13 6 16 110
13 7 5 73
13 7 6 831
13 7 7 5199
13 7 8 19892
13 7 9 52473
13 7 10 101959
13 7 11 152340
13 7 12 178902
13 7 13 171660
13 7 14 135873
13 7 15 91789
13 7 16 52321
13 7 17 24546
13 7 18 8959
13 7 19 2586
13 7 20 548
13 7 21 44
13 7 22 5
13 8 7 8
13 8 8 106
13 8 9 1005
13 8 10 5193
13 8 11 17970
13 8 12 46862
13 8 13 94477
13 8 14 148617
13 8 15 185768
13 8 16 185149
13 8 17 148609
13 8 18 94466
13 8 19 47249
13 8 20 18075
13 8 21 5274
13 8 22 1044
13 8 23 121
13 8 24 7
13 9 14 1
13 9 15 18
13 9 16 104
13 9 17 458
13 9 18 1488
13 9 19 4626
13 9 20 11650
13 9 21 24617
13 9 22 44419
13 9 23 69947
13 9 24 97692
13 9 25 119650
13 9 26 131775
13 9 27 130638
13 9 28 114586
13 9 29 91423
13 9 30 65759
13 9 31 42528
13 9 32 24990
13 9 33 13192
13 9 34 6281
13 9 35 2717
13 9 36 1015
13 9 37 314
13 9 38 86
13 9 39 21
13 9 40 5
13 10 4 15555
13 10 5 93524
13 10 6 234589
13 10 7 312389
13 10 8 234484
13 10 9 93804
13 10 10 15655
13 11 2 500097
13 11 3 499903
13 12 12 931
13 12 13 9752
13 12 14 43919
13 12 15 117353
13 12 16 204953
13 12 17 246506
13 12 18 204253
13 12 19 117560
13 12 20 44023
13 12 21 9756
13 12 22 994
13 13 7 1000000
13 14 4 1000000
13 15 19 7707
13 15 20 54358
13 15 21 163912
13 15 22 273291
13 15 23 273654
13 15 24 164299
13 15 25 54805
13 15 26 7974
13 16 7 250359
13 16 8 499631
13 16 9 250010
13 17 13 250011
13 17 14 499631
13 17 15 250358
13 18 6 1000000
13 19 7 499699
13 19 8 500301
13 20 6 1000000
13 21 12 250500
13 21 13 499513
13 21 14 249987
13 23 3 1000000
13 24 1 1000000
14 0 2 1
14 0 68 1
14 1 134 1
14 1 144 1
14 1 147 1
14 1 148 1
14 1 149 7
14 1 150 9
14 1 151 10
14 1 152 24
14 1 153 30
14 1 154 32
14 1 155 65
14 1 156 70
14 1 157 113
14 1 158 186
14 1 159 241
14 1 160 391
14 1 161 520
14 1 162 737
14 1 163 1073
14 1 164 1465
14 1 165 1994
14 1 166 2528
14 1 167 3343
14 1 168 4366
14 1 169 5593
14 1 170 6888
14 1 171 8751
14 1 172 10365
14 1 173 12864
14 1 174 15433
14 1 175 18226
14 1 176 21121
14 1 177 24303
14 1 178 26995
14 1 179 30296
14 1 180 33727
14 1 181 36821
14 1 182 39050
14 1 183 41516
14 1 184 43610
14 1 185 44757
14 1 186 45597
14 1 187 46144
14 1 188 45346
14 1 189 44513
14 1 190 43214
14 1 191 40928
14 1 192 38626
14 1 193 35985
14 1 194 32236
14 1 195 29512
14 1 196 26367
14 1 197 23179
14 1 198 20338
14 1 199 17304
14 1 200 14722
14 1 201 12567
14 1 202 9928
14 1 203 8255
14 1 204 6545
14 1 205 5281
14 1 206 3990
14 1 207 3110
14 1 208 2460
14 1 209 1706
14 1 210 1273
14 1 211 976
14 1 212 756
14 1 213 528
