cohort allele allele_count all_alleles_count
15 1 128 7300
15 1 129 9715
15 1 130 13154
15 1 131 17173
15 1 132 21594
15 1 133 27091
15 1 134 32936
15 1 135 38339
15 1 136 44006
15 1 137 49890
15 1 138 54755
15 1 139 58525
15 1 140 61361
15 1 141 63264
15 1 142 62059
15 1 143 60341
15 1 144 57333
15 1 145 53006
15 1 146 47710
15 1 147 42276
15 1 148 35965
15 1 149 30051
15 1 150 24758
15 1 151 19450
15 1 152 15093
15 1 153 11350
15 1 154 8411
15 1 155 6011
15 1 156 4047
15 1 157 2774
15 1 158 1839
15 1 159 1190
15 1 160 773
15 1 161 441
15 1 162 269
15 1 163 182
15 1 164 80
15 1 165 52
15 1 166 20
15 1 167 11
15 1 168 3
15 1 169 2
15 1 170 1
15 2 9 1
15 2 10 43
15 2 11 231
15 2 12 895
15 2 13 3039
15 2 14 7911
15 2 15 17161
15 2 16 32159
15 2 17 52188
15 2 18 74453
15 2 19 95400
15 2 20 111059
15 2 21 117416
15 2 22 114219
15 2 23 102834
15 2 24 85839
15 2 25 65836
15 2 26 47724
15 2 27 31650
15 2 28 19197
15 2 29 10817
15 2 30 5492
15 2 31 2647
15 2 32 1119
15 2 33 459
15 2 34 139
15 2 35 48
15 2 36 14
15 2 37 8
15 2 38 2
15 3 1 33
15 3 2 259
15 3 3 1258
15 3 4 4420
15 3 5 12413
15 3 6 27829
15 3 7 51309
15 3 8 80011
15 3 9 107659
15 3 10 126599
15 3 11 134208
15 3 12 126121
15 3 13 107653
15 3 14 82541
15 3 15 58336
15 3 16 37315
15 3 17 21633
15 3 18 11237
15 3 19 5566
15 3 20 2276
15 3 21 886
15 3 22 323
15 3 23 85
15 3 24 22
15 3 25 5
15 4 19 1
15 4 20 25
15 4 21 125
15 4 22 479
15 4 23 1705
15 4 24 5023
15 4 25 11763
15 4 26 24525
15 4 27 43200
15 4 28 67528
15 4 29 93940
15 4 30 115469
15 4 31 127993
15 4 32 126811
15 4 33 113501
15 4 34 93235
15 4 35 69672
15 4 36 46941
15 4 37 28474
15 4 38 15689
15 4 39 8021
15 4 40 3650
15 4 41 1483
15 4 42 515
15 4 43 179
15 4 44 43
15 4 45 8
15 4 46 2
15 5 1 12226
