Indiv	NatalYear	CoreNestling	ImmCohort	InclBr
UB7m_2k	NA	N	1991	N
1453-63698	NA	N	NA	Y
1453-63699	NA	N	1993	Y
1453-72701	NA	N	1992	Y
1453-72702	NA	N	1992	Y
1453-72705	NA	N	1992	Y
1453-72719	NA	N	1993	Y
1453-72720	1994	Y	NA	N
1453-72721	1994	Y	NA	N
1453-72722	1994	Y	NA	N
1453-72723	1994	Y	NA	Y
1453-72724	1994	Y	NA	Y
1453-72725	1994	Y	NA	Y
1453-72740	1994	Y	NA	Y
1453-72741	1994	Y	NA	N
1453-72742	1994	Y	NA	N
1453-72744	1994	Y	NA	N
1453-72745	1994	Y	NA	N
1453-72746	1994	Y	NA	N
1453-72747	1994	Y	NA	N
1453-72748	1994	Y	NA	Y
1453-72749	1994	Y	NA	Y
1453-72750	1994	Y	NA	N
1453-72751	1994	Y	NA	N
1453-72752	1994	Y	NA	Y
1453-72753	1994	Y	NA	N
1453-72754	1994	Y	NA	Y
1453-72772	1994	Y	NA	N
1453-72773	1994	Y	NA	N
1453-72774	1994	Y	NA	N
1453-72778	1994	Y	NA	Y
1453-72779	1994	Y	NA	Y
1453-72793	1994	Y	NA	N
1453-72794	1994	Y	NA	N
1453-72795	1994	Y	NA	Y
1453-72801	NA	N	1992	Y
1453-72802	NA	N	1992	Y
1453-72804	NA	N	1993	Y
1453-72806	NA	N	1993	Y
1453-72808	1993	N	NA	N
1453-72815	NA	N	1993	Y
1453-72819	NA	N	1992	Y
1453-72820	NA	N	1992	Y
1453-72824	1994	N	NA	N
1453-72825	1994	N	NA	N
1453-72833	1994	N	NA	N
1453-72841	1994	N	NA	N
1453-72842	1994	N	NA	N
1453-72843	NA	N	1992	Y
1453-72850	1994	N	NA	N
1453-72851	1994	N	NA	N
1453-72852	1994	N	NA	N
1453-72863	1994	N	NA	N
1453-72864	1994	N	NA	N
1453-72869	1994	N	NA	Y
1453-72870	1994	N	NA	N
1453-72871	1994	N	NA	N
1453-72872	1994	N	NA	N
1453-72873	1994	N	NA	N
1453-72874	1994	N	NA	Y
1453-72875	1994	N	NA	N
1453-72876	1994	N	NA	Y
1453-72885	1994	N	NA	N
1453-72886	1994	N	NA	Y
1453-72887	1994	N	NA	N
1453-72888	1994	N	NA	N
1453-72889	1994	N	NA	N
1453-72890	1994	N	NA	N
1453-72899	1994	N	NA	N
1453-72900	1994	N	NA	N
1453-78001	1994	N	NA	N
1453-78010	1994	N	NA	N
1453-78011	1994	N	NA	N
1453-78012	1994	N	NA	N
1453-78021	1994	N	NA	N
1453-78022	1994	N	NA	N
1453-78023	1994	N	NA	N
1453-78024	1994	N	NA	N
1453-78025	1994	Y	NA	N
1453-78026	1994	Y	NA	N
1453-78029	1994	Y	NA	N
1453-78030	1994	Y	NA	N
1453-78040	1994	Y	NA	Y
1453-78041	1994	Y	NA	Y
1453-78044	1994	N	NA	N
1453-78045	1994	N	NA	Y
1453-78046	1994	Y	NA	N
