1063-43161,1
1063-43162,1
1063-43163,1
1063-43164,1
1063-43165,1
1063-43166,1
1063-43167,1
1063-43168,1
1063-43169,2
1063-43170,2
1063-43171,2
1063-43172,1
1063-43173,2
1063-43174,1
1063-43175,1
1063-43176,2
1063-43177,2
1063-43178,2
1063-43179,1
1063-43180,2
1063-43181,2
1063-43182,1
1063-43183,2
1063-43184,1
1063-43185,2
1063-43186,1
1063-43187,2
1063-43188,1
1063-43189,1
1063-43190,2
1063-43191,1
1063-43192,2
1063-43193,1
1063-43194,1
1063-43195,1
1063-43196,2
1063-43197,1
1063-43199,1
1063-43200,2
1063-43401,1
1063-43402,2
1063-43403,2
1063-43404,2
1063-43405,1
1063-43406,1
1063-43407,1
1063-43408,1
1063-43409,2
1063-43410,1
1063-43411,2
1063-43412,1
1063-43413,2
1063-43414,2
1063-43415,2
1063-43416,1
1063-43417,2
1063-43418,2
1063-43419,1
1063-43427,1
1063-43428,1
